Country,Age,Number,Seropositive
Peru,5,261,146
Peru,6,307,209
Peru,7,340,244
Peru,8,368,269
Peru,9,353,273
Peru,10,340,273
Peru,11,327,272
Peru,12,320,257
Peru,13,267,222
Peru,14,238,209
Peru,15,205,187
Peru,16,147,135
Peru,17,98,93
